"","OBJECTID","ID_DEPA","ID_PROV","P_NOMB","P_CAPIT","ID_DEPNOM","Poblacion","ranking1","IDH","ranking2","EVN","ranking3","POB_ESC","ranking4","POREDAD_25","ranking5","ING_PROMED","ranking6"
"98","684","11","1101","ICA","ICA","ICA",349036,13,0.56095861659,13,79.6357581255,11,77.7329610986,11,10.9541825105,4,710.018154574,25
"99","685","11","1102","CHINCHA","CHINCHA ALTA","ICA",210098,24,0.514417250766,27,80.4852785573,5,73.7989971448,18,9.86154351495,19,595.591897249,47
"100","686","11","1103","NAZCA","NAZCA","ICA",58817,104,0.524370667793,25,80.5334899244,4,73.1849986545,19,10.1533077396,12,620.237672548,40
"101","687","11","1104","PALPA","PALPA","ICA",12621,183,0.512168344685,29,81.2096110968,1,70.7822535873,28,9.29789069884,30,613.240116665,41
"102","688","11","1105","PISCO","PISCO","ICA",132986,46,0.492610615394,36,75.6305127592,52,71.028257038,26,9.94480937327,16,582.085593421,52
"103","689","12","1201","HUANCAYO","HUANCAYO","JUNIN",497299,8,0.520998456953,26,71.9307994396,117,78.4456468273,9,10.0879162701,14,693.652892623,29
"104","690","12","1202","CONCEPCION","CONCEPCION","JUNIN",58942,103,0.385214215485,76,71.602560455,122,62.0133668498,53,7.70657710628,67,392.189669314,92
"105","691","12","1203","CHANCHAMAYO","LA MERCED","JUNIN",193140,26,0.414472600217,67,74.7895585059,66,48.2848399444,90,7.79159711398,65,503.581187207,67
"106","692","12","1204","JAUJA","JAUJA","JUNIN",88524,68,0.424186583138,62,70.3976548744,143,69.6933253157,31,8.54906749197,48,467.048231516,74
"107","693","12","1205","JUNIN","JUNIN","JUNIN",27722,159,0.384393498195,77,69.094621398,154,65.6418189119,42,7.62547893026,70,402.112106278,89
"108","694","12","1206","SATIPO","SATIPO","JUNIN",244727,20,0.332156989778,106,73.5024171582,89,38.4108039181,122,6.9885616286,98,333.283316642,113
"109","695","12","1207","TARMA","TARMA","JUNIN",111631,54,0.418855443375,64,73.4680139635,91,58.1105140437,62,7.96233279321,62,481.529011271,72
"110","696","12","1208","YAULI","LA OROYA","JUNIN",45858,132,0.589844871026,8,75.9279959628,48,72.1220527046,24,10.0495969017,15,955.70134566,8
"111","697","12","1209","CHUPACA","CHUPACA","JUNIN",53564,116,0.429272953886,61,71.6654352359,121,77.5609756098,12,8.59928817243,47,446.39996489,82
"112","698","13","1301","TRUJILLO","TRUJILLO","LA LIBERTAD",914036,4,0.574150441237,11,77.29586995,32,72.1483942414,23,10.5249918314,7,838.944768747,11
"113","699","13","1302","ASCOPE","ASCOPE","LA LIBERTAD",120884,50,0.492833168912,35,75.7399101693,50,68.7440982059,32,9.09082709452,37,622.295037136,39
"114","700","13","1303","BOLIVAR","BOLIVAR","LA LIBERTAD",16910,177,0.21276097112,187,77.3148944391,31,24.7859106936,176,5.56577567737,148,141.202128597,193
"115","701","13","1304","CHEPEN","CHEPEN","LA LIBERTAD",84037,74,0.451766971158,53,76.772998741,40,62.6135569532,52,8.19888755552,57,530.867936876,63
"116","702","13","1305","JULCAN","JULCAN","LA LIBERTAD",32400,145,0.167051211162,195,70.7700534864,139,23.1218281188,182,4.38629365734,192,108.405704456,195
"117","703","13","1306","OTUZCO","OTUZCO","LA LIBERTAD",92237,64,0.216311829709,186,73.8471309817,83,29.8311535855,158,4.7045265862,187,159.062747852,191
"118","704","13","1307","PACASMAYO","SAN PEDRO DE LLOC","LA LIBERTAD",101954,60,0.483621836446,39,79.4291465146,13,64.4927536232,45,8.99616213767,40,572.641268788,56
"119","705","13","1308","PATAZ","TAYABAMBA","LA LIBERTAD",85687,72,0.248887438725,168,73.3046556963,98,26.3707312335,173,5.59704616139,146,212.765822203,173
"120","706","13","1309","SANCHEZ CARRION","HUAMACHUCO","LA LIBERTAD",149616,37,0.185676443472,193,73.6025849845,88,23.8783582926,180,3.92802452007,194,137.975250788,194
"121","707","13","1310","SANTIAGO DE CHUCO","SANTIAGO DE CHUCO","LA LIBERTAD",61329,100,0.286593190388,137,75.1373301942,61,30.8267898835,154,5.91957095729,131,267.198066136,148
"122","708","13","1311","GRAN CHIMU","CASCAS","LA LIBERTAD",31402,150,0.270011877005,157,72.4602340719,112,28.8929812669,161,5.85692351336,136,248.518979981,158
"123","709","13","1312","VIRU","VIRU","LA LIBERTAD",101167,61,0.388546272788,74,75.5190578575,57,44.4512539834,103,7.03176148534,96,459.345272826,78
